YEAR,VISIT_NO,PHSTVL,CL,NO3,LAT_DD,LON_DD,URB_NLCD,AG_NLCD,FOR_NLCD
1995,1,6.67,12,2.5,36.65758056,81.75881944,0,0.786529,99.213471
1995,1,7.07,23,10.4,38.40369167,78.44312222,0,0,100.000001
1995,1,7.24,31,18.6,38.32123889,78.61785556,0,0,100
1995,1,7.08,30,2.6,37.86231111,78.874225,0,0.90989,99.09011
1995,1,7.82,28,15.2,38.19074167,79.86485278,0.046049,0.444311,92.812979
1995,1,6.93,12,18.1,38.46015278,79.64531111,0,3.129299,95.960616
1995,1,7.07,418,62.1,36.71185833,80.35275833,5.766436,69.818227,23.84732
1995,1,7.38,90,18.1,36.89438889,80.33372778,0.18767,31.768076,67.304353
1995,1,7.45,58,20.7,36.63677778,80.96652778,0.196378,41.626464,57.970775
1995,1,7.28,29,9.7,36.73420833,81.1716,0,17.724778,81.357995
1995,1,7.34,55,1.7,37.34810556,80.12933889,0.008426,1.637403,98.337055
1995,1,7.53,161,39.9,36.72816111,80.74163889,1.06075,46.366758,52.409705
1995,1,6.98,21,3.3,37.68667778,79.30288333,0,0.239221,99.760779
1995,1,7.16,83,25.7,36.88337778,80.64645556,0.10031,35.284159,64.093088
1995,1,6.71,144,1.3,37.05230278,81.05158611,0.622152,6.65745,92.547478
1995,1,5.71,17,0,37.05858056,81.05655556,0,0,100
1995,1,6.72,41,4.5,38.29344167,79.34663056,0,0.289033,99.698615
1995,1,7.1,20,13.2,38.17191944,78.74075833,0,0.83868,99.129611
1995,1,6.91,14,1.6,36.78698889,81.25689167,0,0.026915,99.973087
1993,1,7.98,34,4.5,37.49725556,79.97843333,0,1.158026,98.841973
1993,1,7.17,14,6.3,37.94855556,79.80890556,0,0.371854,99.628147
1993,1,6.95,39,15.4,37.54024722,79.39001389,0.01483,7.626766,92.328745
1993,1,7.51,69,36.2,36.58552778,80.44365556,0.536436,31.319265,66.835778
1993,1,6.96,79,20.2,37.033375,80.26998611,0,73.97225,26.027751
1993,1,8.18,610,40.5,36.95969722,80.84440833,12.644917,50.462244,36.586775
1993,1,5.46,21,4.6,37.42336944,80.62978333,0,0,100.000001
1993,1,8.24,52,16,37.24123333,81.87161389,0.095412,0.707383,97.236239
1993,1,7.05,18,1.3,37.20130556,82.48648889,0,2.207079,97.792922
1993,1,7.45,32,38.3,36.79876389,82.03284167,0.031142,3.428839,96.340016
1993,1,6.82,19,4.1,36.90036667,81.44666667,0,1.467241,98.532759
1993,1,8.12,62,61.9,36.64307778,83.24443889,0.036913,23.485434,76.407254
1993,1,7.22,160,7.7,38.97795278,78.06521944,2.628881,0.955879,96.41524
1993,1,6.74,23,20.3,38.53744167,78.30581944,0,0.58951,98.77443
1993,1,5.61,183,1373,38.46348333,78.94933333,0.316142,67.440546,32.243312
1993,1,8.37,162,78.3,38.02889444,79.16039444,0.038298,64.295276,35.130249
1993,1,7.94,216,4,39.24413611,78.047175,1.713303,59.595754,32.82559
1993,1,8.07,417,118.4,39.21733056,78.15602222,2.353722,58.235825,38.988473
1993,1,6.92,17,4.9,38.353975,79.25980278,0.002346,0.098556,99.793519
1993,1,8.24,222,81.4,38.196,78.96716667,1.533936,69.014937,24.667297
1993,1,8.2,286,78.9,38.18910833,78.96935278,3.92457,50.015126,45.401142
1993,1,7.64,36,14.6,38.29255556,79.12965833,0.00424,20.228859,79.537955
1993,1,8.25,322,95.2,38.18481667,78.95917222,5.083166,61.721235,32.290972
1993,1,8.14,336,137.8,38.13456111,78.86486389,1.642429,86.744418,11.237887
1993,1,7.52,92,51.5,38.82909444,78.29517778,0.230922,56.08,43.300719
1993,1,6.92,28,0,38.87670556,78.37683611,0,0.026713,94.127245
1993,1,8.16,49,1.7,38.87123611,78.39637778,0,53.974717,46.025282
1993,1,5.74,39,5.7,38.69906667,78.59636389,0,0,100
1993,1,8.14,49,14.2,38.24606944,79.76332222,0.013222,14.133908,85.6698
1993,1,6.49,18,0.6,37.35155278,80.31483611,0,0,99.759539
1993,1,7.03,26,3.7,37.834075,80.10801944,0,0.097931,99.902069
1993,1,7.53,27,3.6,37.66659722,79.786625,0,0,100.000001
